სათაური,ავტორი,ფასი
ბურებთან,ნიკო ბაგრატიონი,2.77
ფინანსისტი (ნაწილი II),თეოდორ დრაიზერი,3.99
The Philosophy Of Psychology,"George Botterill, Peter Carruthers",3.88
დაკარგული ქვეყანა,ართურ კონან დოილი,2.99
მელის წიგნი,ვარდანი,3.33
ფინანსისტი (ნაწილი I),თეოდორ დრაიზერი,3.99
სიმღერა ნიბელუნგებზე,უცნობი,4.99
მძიმე დროის ამბავი,ოლაუგ ნილსენი,6.00
ფსიქოანალიზი და არაცნობიერი,დევიდ ლოურენსი,4.99
მედიტაცია,ჯიდუ კრიშნამურტი,5.99
მედიტაცია და მისი მეთოდები,სვამი ვივეკანანდა,4.99
ბჰაქთი-იოგა,სვამი ვივეკანანდა,5.99
გზა ღმერთისაკენ,მაჰათმა განდი,3.99
შთაგონებული საუბრები,სვამი ვივეკანანდა,5.99
პროპაგანდა,ედუარდ ბერნეისი,3.88
Philosophy of Religion,Keith Yandell,3.99
გული,ნაცუმე სოსეკი,6.00
დასავლური ფილოსოფიის ისტორია. წიგნი II,ბერტრან რასელი,4.99
გამართლებული მკვლელობა,ანი შამუგია,6.00
"კატა, რომელიც ქალს უსმენდა",მარტოხელა,8.00
ქართული ენა ლიტერატურა 2022,რუსუდან გონაშვილი ეკატერინე შარაშიძე,10.00
წმინდანთა ცხოვრება  და სხვა მოთხრობები,რომუალდას გრანაუსკასი,6.00
ვლადივოსტოკის ცირკი,ელიზა შუა დიუსაპენი,5.00
ფსიქოპათოლოგიის ბუნება - რა განაპირობებს ფსიქიკურ აშლილობას,ლილი ნაკანი,8.00
ფილოსოფიის საწყისები,რენე დეკარტი,3.99
"ფრაზული ზმნების, იდიომებისა და ანდაზების კრებული",მაია მაზმიშვილი,8.00
ტიბეტელი ბერის ლექსები და ჩანაწერები,ტაშირო მაცუკი,6.00
მონტესორის პედაგოგიკა და ახალი ტექნოლოგიები,მარიო ვალე,9.00
ჩიკაგო ბლიუზი,ჯიმი იანსი,3.99
"ფრაგმენტები, წერილები",ეპიკურე,2.88
ცუდი მშობლების შესახებ,ტომ კუმერი,6.00
ქართულ-პორტუგალიური  და პორტუგალიურ-ქართული სასაუბრო,გიორგი ალიბეგაშვილი,3.00
ქალი მასონი,სოლომონ ასურელი,21.55
თეიმურაზ I და მისი პოემა,ზურაბ ავალიშვილი,2.99
იოუნი,ოფეიგურ სიგურდსონი,2.99
სოციალიზმის პრობლემები და პერსპექტივები საქართველოში,კარლ კაუცკი,1.99
სულჩადგმული მარმარილო,ლაურა სინტია ჩერნიაუსკაიტე,2.99
ისლამი და არაბთა სახელმწიფო,დიმიტრი უზნაძე,2.00
ვინ არიან მასონები?,სოლომონ ასურელი,14.55
პასუხად სომხის მწერლებს,მიხეილ თამარაშვილი,3.99
111 ლექსი,ბექა ბაიაშვილი,0.99
ქართველი ქვისმთლელები - ისტორიის ბურუსში,სოლომონ ასურელი,50.00
დასავლური ფილოსოფიის ისტორია. წიგნი I,ბერტრან რასელი,4.99
ილუმინატები,სოლომონ ასურელი,33.00
Propaganda,Edward Bernays,2.33
საგანთა ბუნებისათვის,ლუკრეციუსი,3.99
საუბრები ფილოსოფიაზე,მერაბ მამარდაშვილი,4.77
სიყვარულის ქარაგმები,გიორგი ტაბიძე,2.66
სულის ვნებანი,რენე დეკარტი,3.99
სუმერული და ქართული,მიხაკო წერეთელი ,2.88
ისტორიის აპოლოგია,მარკ ბლოკი,3.77
ყველაზე მდიდარი კაცი ბაბილონში,ჯორჯ სამუელ კლეისონი,6.00
გასაღები რძეში,ალექსანდრე ჰმინე,6.00
"განაზრებანი ცოდნისა, ჭეშმარიტებისა და იდეათათვის",გოტფრიდ ვილჰელმ ლაიბნიცი,0.99
აბიბოს ნეკრესელის წამება,უცნობი,0.99
სოციალური მედია და მარკეტინგი,ოლიკო ცისკარიშვილი,8.00
აღმოსავლეთ-დასავლეთის თოთხმეტსაუკუნოვანი ბრძოლა,აბდ ალ ჰამიდ შარაფი,2.99
გლოვის წვეთი,ისქენდერ ფალა,2.99
"სიკვდილი ბაბილონში, სიყვარული სტამბოლში ",ისქენდერ ფალა,5.00
ზარატუსტრა: მოცეკვავე ღმერთი,ოშო,8.00
ალტერნატიული ეთიკა და ფსიქოლოგია,როზა გაფრინდაშვილი ლია მეტრეველი,6.00
ისტორია მართლმადიდებელ ეკკლესიისა,მოსე ჯანაშვილი,2.55
დაუჯერებელი იდუმალების შესაძლო სინამდვილე,ვაჟა პაპიძე,10.00
საგალობლები,იოანე მინჩხი,1.44
